,id,guion,anio,mes,duracion,calificacion,argumento
0,tt0059325,Jürgen BöttcherKlaus Poche,1990,10,1h 40m,6.5,"DDR film from the mid-60s: Li and Al, not long married, want to divorce. They feel trapped in their marriage and in their one-room apartment. They long for an unconventional, meaningful life, but the search for meaning confounds them."
1,tt0059900,Egon GüntherHelga Schütz,1990,10,1h 18m,6.5,"Adam receives a flashlight with special powers: every liar it shines on flies into the air. Production was canceled in 1965 due to the film's political content. Only in 1989-1990 could the director reconstruct the film, replacing missing sounds and images with script inserts."
2,tt0065188,Jaromir KacerJirí SoukupZdenek Tyc,1990,10,1h 20m,6.5,
3,tt0068494,Arch Oboler,1990,8,R,5.0,A young college student and a former G.I. on his way home from a tour in Viet Nam meet in Japan and decide to explore the country together.
4,tt0075259,Len Deighton,1990,3,1h 43m,5.7,"A British spy is framed, so he must evade the KGB, the CIA and the British Intelligence to reach the the heart of the conspiracy in Arctic."
5,tt0081721,Michael Rubbo,1990,12,1h 40m,6.2,Jo meets a mysterious art dealer who buys some of her drawings and commissions her to make more. She asks some friends for help and sets off to Amsterdam to look for the mysterious man.
6,tt0090665,Férid BoughedirNouri BouzidTaoufik Jebali,1990,3,Unrated,6.7,"Noura struggles to reconcile two worlds, Muslim women and men, while also dealing with his own sexuality."
7,tt0093210,Jorge Barragán,1990,0,1h 42m,5.9,"A hobo (Julio Alemán) is given the power to know what will happen in the future, but only for 24 hours."
8,tt0093989,Cheh Chang,1990,11,1h 55m,6.4,The friendship between a thief turned Chinese opera performer and an incorruptible police officer.
9,tt0093662,Mike Grady,1990,ND,1990,5.7,A beautiful young soap opera star is stalked and terrorized by an obsessive admirer at a posh tropical resort.
10,tt0094666,Iain RoyChris Kelly,1990,5,R,4.3,A veteran reporter is investigating the disappearance of a photo-journalist who was covering a civil war in Africa. The only clue is a roll of film he left behind. The reporter soon realizes he may have bitten more than he can chew.
11,tt0094073,Mila BurnetteJoaquim de AlmeidaMaria Norman,1990,10,1h 37m,7.6,"Concerns an affluent New Yorker who returns to the South Bronx and her Puerto Rican roots, and falls in love with a Puerto Rican separatist."
12,tt0094857,Chi-Ming Pang,1990,3,1h 34m,6.2,A Hong Kong police detective investigating weapons smuggling through the airport runs into a corrupt customs officer. Things escalate to a ruthless munitions smuggler kidnapping two security officers' daughter.
13,tt0095840,Addison Randall,1990,4,1h 30m,4.6,A right-wing revolutionary group called Strikeforce goes on a kidnapping and murdering spree in order to obtain a lethal top secret weapon. A Vietnam Vet called Jason Shepherd is called in to track the group down.
14,tt0096469,Abe Kwong,1990,10,1h 30m,5.4,
15,tt0096775,Ranjit Harma,1990,10,2h 41m,5.4,"Bharat Nagar is a city in modern secular India that is terrorized by a gangster named Bhika, who is protected by the local politician, Gulabchand Jhakotia, his son, Police Inspector Bhushan, and the D.S.P. Anand Saxena. When Inspector Gurdayal Singh accumulates enough evidence to... Read all"
16,tt0096992,Valeriy Ogorodnikov,1990,2,2h 26m,6.7,"A Tv actor-director of the Gorbachev generation makes a film about 1949: the narrative shifts between fantasies and realities, the past and the present."
17,tt0096937,Alexander PushkinEvgeniy GrigorevOskar Nikich,1990,1,1h 44m,6.7,"The young master Vladimir Dubrovskiy comes to the estate to see his father, who has long had a lawsuit with his neighbor, the despotic landowner Troekurov. The litigation ends in complete ruin, and then the death of his father. Dubrovskiy, who by this time had fallen in love with... Read all"
18,tt0096025,Marc DiddenAnnemarie Vandeputte,1990,6,1h 30m,5.7,"Hilde earns just enough to support herself and her son, but when his father returns the troubles begin."
19,tt0096174,Petar KreljaPavao Pavlicic,1990,5,1h 26m,6.5,Young social worker falls in love with a delinquent girl on the run.
20,tt0095902,Eda Lishman,1990,8,PG,6.8,"A tomboyish juvenile delinquent, Paschal Draney, is sent to live in a foster home run by a well-known horse breeder where he befriends a Thoroughbred seemingly crippled by a congenital eye defect."
21,tt0096500,Guy de MaupassantZdenek Kaloc,1990,0,52m,7.7,
22,tt0096845,Katrin Ottarsdóttir,1990,1,1h 20m,6.2,Presents a day in the life of a few inhabitants of Tórshavn in the Faroe Islands: A father and his daughter are having breakfast when the fire-brigade drive by. A woman and her child are looking at the fire and meet a married couple. The couple say hello to a man who is going out... Read all
23,tt0096817,Jacob Berger,1990,11,1h 35m,6.1,"The American musician Rickie falls in love with the prostitute Sara, who pretends to be a princess. As they escape together, Rickie gets into a dangerous adventure..."
24,tt0097129,James RyanRick Marcus,1990,11,R,5.0,"A rich kid, with a fondness for fast bikes, is blamed when a motorcycle accident puts his best friend in a coma."
25,tt0097298,Steven PaulJon VoightDorothy Koster Paul,1990,11,R,2.8,"Television producer James has an extremely vivid dream, in which he is a Prince struggling to keep the kingdom at peace against the wishes of his warfaring brother, while at the same time competing with his brother for a woman's love. The figures in his dream match those in his r... Read all"
26,tt0096752,Jörg Graser,1990,4,1h 35m,7.9,"A chest full of gold teeth extracted from Holocaust victims reveals terrible secrets. This revelation forever changes the lives of Abraham, his family members and other inhabitants of a sleepy village in Bavaria."
27,tt0096763,Mitch Spinelli,1990,0,X,6.1,
28,tt0097697,Ibolya FeketeFerenc GrunwalskyGyörgy Szomjas,1990,9,1h 26m,6.0,
29,tt0098144,Simó FàbregasJorge GrauGustau Hernández Mor,1990,1,1h 57m,7.0,"Banditry in northern Catalonia during the 19th century, just after the last Carlist war."
30,tt0097968,Bohumil HrabalVáclav Nývlt,1990,9,1h 28m,7.3,
31,tt0098139,Octavi PellissaPere PortabellaCarles Santos,1990,3,Not Rated,6.6,"A female professor, a writer, and an orchestra conductor -three characters, two couples- attend a grand literary cocktail party. The writer has just won the prize for his book ""Warsaw Bridge"". The winner answers the journalist's questions one after another, but he is unable to co... Read all"
32,tt0098004,Anatoliy Pristavkin,1990,5,1h 37m,7.0,"About the tragic fate of two orphan brothers, who in 1944 were taken away, together with other orphans from a city near Moscow to the Caucasus, where the Chechen population was deported."
33,tt0097833,Radoslaw Piwowarski,1990,2,1h 29m,6.7,Young people in Poland of the late 1960s have to face life-changing dilemmas and make tough choices. Some of them are forced to leave their country for having Jewish origins. Others are persecuted for political reasons.
34,tt0097106,Éric Rohmer,1990,2,PG,7.1,"Simple conversations engender complicated human interactions. Jeanne is open and even-tempered, a philosophy teacher at a lycée. Her fiancé is away and she doesn't want to stay at his messy flat; she's loaned hers to a cousin, so she accepts the invitation of Natasha, a music stu... Read all"
35,tt0096296,Savva Kulish,1990,2,2h 47m,6.2,"A conflict of generations when a father, connected to organized crime, is sentenced for embezzlement and his son turns to drugs and a spectacular suicide in a car accident."
36,tt0096879,Filip Bajon,1990,4,1h 31m,5.8,Winter age immobilizes trains at stations. Passengers of one of the organization New Year's ball.
37,tt0096984,Iosif KheifitsLyudmila Razumovskaya,1990,8,1h 38m,6.4,A gang of distressed actors travels around by teshka envying gipsies and eating semolina.
38,tt0097475,Ferenc JeliÁkos KertészJános Zsombolyai,1990,5,1h 31m,7.3,
39,tt0096883,Eddie Beverly Jr.,1990,0,R,5.2,"Roosevelt Prophet is a one-time big city cop turned private investigator. In his new calling he has acquired the most impressive moniker of ""Ballbuster"". The thugs that he comes in contact with as the action unfolds, discover that it's a name that is well-earned. The Number One t... Read all"
40,tt0098657,Jan SchütteThomas Strittmatter,1990,11,1h 20m,6.9,"Before Ernst Winckelmann, a sales representative for hair products, calls on hairdressing salons and chemist's shops, he rehearses what he intends to say, shakes the dandruff from his hair and slips into an innocuous pair of shoes. None of this helps. Winkelmann is no sales talen... Read all"
41,tt0097348,Parkman WongJames FungAndy Chi Keung Liu,1990,5,1h 38m,6.2,"Ruthless gangster Guts pulls off a heist of diamonds, then enlists the aid of longtime triad member, Fei, to arrange a buyer for them. But when Guts double crosses the buyer, Fei ends up with the diamonds, wanted by both the cops and Guts."
42,tt0096825,Marc CarpenterHelen Drake,1990,11,R,3.5,"When her ex-lover takes a job at her club as a dealer, a beautiful but bitter casino singer avenges herself by conspicuously bedding everything in pants, including their Mafioso boss. But when the two reunite, the double crossed Mobsters demand payback."
43,tt0097738,José Buil,1990,2,1h 35m,6.0,"A sports journalist is assigned to discover the truth behind the mask of ""El Angel Enmascarado"" (The Masked Angel), a very popular and recently deceased wrestler."
44,tt0093646,Kari Paljakka,1990,2,20m,8.1,
45,tt0096107,Krzysztof Kieslowski,1990,1,18m,6.8,Seven Days a Week is truly the last documentary film Kieslowski ever directed.
46,tt0097970,Tracey Moffatt,1990,9,19m,6.1,A middle aged Aboriginal woman nurses her dying old white mother till the mother dies.
47,tt0098268,Friedrich HölderlinDanièle HuilletJean-Marie Straub,1990,4,42m,5.6,A short story based on the work of Friedrich Hölderlin.
48,tt0099224,Arnaldo Jabor,1990,ND,26m,4.2,
49,tt0100335,Luanshya Greer,1990,ND,26m,3.7,
50,tt0099861,Francesca Marciano,1990,ND,26m,5.7,
51,tt0100434,Augusto CabadaGiovanna Pollarolo,1990,ND,26m,5.7,
52,tt0099522,Richard Kern,1990,ND,Unrated,4.9,Kern plays himself as he uses his models to fulfilling his sadistic control fantasies with mixed results.
53,tt0156370,Eduardo JáureguiAndrés Sáenz de Heredia,1990,ND,12m,5.2,
54,tt0168228,Lynn Sharon SchwartzJessie Nelson,1990,4,33m,6.9,"A homeless family of three sleeps on a TV production stage, by day looking for a job. One day somebody finds them."
55,tt0212195,Björn Runge,1990,1,30m,6.3,
56,tt0219685,Frank Ketelaar,1990,ND,40m,8.7,
57,tt0241399,Igor KovalyovEvgeniy Nazarenko,1990,5,13m,6.7,The relationship between a married couple shatters when a visitor reveals to the husband that his wife is secretly a hen.
58,tt0281237,Dito Tsintsadze,1990,ND,17m,6.9,
59,tt0283920,Tom Tykwer,1990,9,34m,6.3,
60,tt0297692,Nicholas Franghias,1990,11,30m,7.4,"On the eve of an invisible war, young Alexis serves his 21-month national military post on a remote island. The night is not easy. When through the music and the breaking news bulletins of his small radio transistor he starts receiving strange frequencies, his childhood friends, ... Read all"
61,tt0333111,Rachel Galligan,1990,ND,13m,8.0,
62,tt0344059,François Ozon,1990,ND,11m,4.9,"A man and his wife are having a holiday alone in their country house. The husband takes long rides on his bike while his wife is doing groceries and preparing meals. During a hike together, the woman is close to pushing her husband off a cliff, but eventually doesn't do it. Then ... Read all"
63,tt0091899,Rubens Francisco Lucchetti,1990,0,TV-MA,6.2,"O Anjo (The Angel) is a millionaire playboy who fights the forces of crime, especially his deadly enemy, the arch-villain Escorpião Escarlate (Scarlet Scorpion), who recently has kidnapped the fashion designer Glória Campos, who is in love with our hero."
64,tt0097253,Aleksandr BorodyanskiyJuliusz Machulski,1990,4,1h 48m,7.5,"During the Prohibition, Chicago mob send a hitman after a traitor. The only problem is that his traces lead to Odessa, and no one hitman can overcome the hardcore Soviet bureaucracy."
65,tt0096506,Kee-To LamTai-Mok LauMan Fai Ng,1990,5,1h 32m,5.6,A Japanese singer believes her father has been kidnapped. She goes to Hong Kong to find him.
66,tt0096830,Álvaro Sáenz de HerediaAlejandro Pose,1990,1,1h 28m,4.0,"The Count of Capranegra, accompanied by his chamberlain, travels to Soborlskaia to claim the castle of his great-great-grandfather who died in strange circumstances. But to get the fortune he must first pass a difficult test."
67,tt0097365,Howard ZiehmDoug Frisby,1990,7,NC-17,3.7,Flesh Gordon is kidnapped by a group of space cheerleaders hoping to use him to save their planet.
68,tt0097062,Sergey Solovyov,1990,1,2h 11m,7.2,"In fact, people who then appear around Mitya are all unique, eccentric and the space of the apartment house begins to have an unrealistic character as a miniature of unstable society in the end of Soviet Union."
69,tt0097644,Feliks Falk,1990,2,1h 45m,5.8,Piotr gets back to Poland after two years in America. He tries to invest the money he earned on the local market but that seems quite a challenge.
70,tt0097994,Annie KorzenJoel BlockSteven Ader,1990,6,PG-13,5.5,"Steve is a college freshman who plays tennis for the school. But he falls desperately in love with Shelly, also a tennis player. It's all downhill from there. Steve can't eat, he can't sleep, his grades drop, and he gets kicked off the tennis team. What can he do? Well, his resou... Read all"
71,tt0098064,Mariano Ozores,1990,4,1h 37m,4.2,A couple hire a surrogate mother.
72,tt0097176,Albert Pyun,1990,8,R,5.0,"Two outer-space aliens visit Earth with the intention of blowing it up, but they meet a hot blonde and decide to postpone the planet's destruction in order to try to score with her."
73,tt0097619,Dik Hoi,1990,1,1h 30m,6.1,"A remake of the 1988 American comedy film, Coming to America."
74,tt0098294,Franco BerniniDaniele LuchettiAngelo Pasquini,1990,10,1h 42m,6.2,Gloria is a young waitress who works in a restaurant and dreams with open eyes.
75,tt0097638,Man Fai Ng,1990,6,1h 28m,6.2,"A group of college kids discovers the remains of an evil warlord from an old cave and brings it to their dormitory, which ultimately awakens the warlord's ghost."
76,tt0097394,Barry WongJing Wong,1990,1,1h 29m,6.0,"Set in China during the Japanese occupation. A young man breaks out of a POW camp to marry his sweetheart, but finds she is now a spy for the resistance, code-named ""Number 3"". With the help of ""Number 2"" he returns to the camp to find ""Fortune"", an agent who possesses the pass-c... Read all"
77,tt0096075,Craig Horrall,1990,11,R,5.1,"A woman marries wealthy men, then arranges for them to have ""accidental"" deaths."
78,tt0096860,Philippe ClairCatherine Ramberg,1990,5,1h 38m,3.2,"Vittorio finds himself in Venezuela, where Laura his wife, enjoys happy days with the wealthy Domingo Villaverde."
79,tt0096859,Tonino CerviCesare FrugoniRodolfo Sonego,1990,4,1h 57m,6.0,"Misery money-lender Arpagone is looking to arrange three weddings simultaneously to cut down on costs. One for himself and the others for his two children. Of course he doesn't approve of the choices his son and daughter have made, and conspires to arrange more well to do spouses... Read all"
80,tt0097049,Leonid GaidaiArkadiy IninYuriy Volovich,1990,11,1h 34m,5.3,"The first private enterprises are started in the Soviet Union in the late 80s. A gang of bad guys, owners of a private restroom, kidnap a good guy - owner of a toy store. Private eye Dmitri's first job is to try and free the store owner."
81,tt0097525,Detlev BuckRoger HeeremannHans-Erich Viet,1990,6,1h,5.7,"A young customs officer is bored by his job and his situation at all. He tries to have some fun, but in a way that nobody else can enjoy. The situation changes when he decides to let his too long hair be cut."
82,tt0097405,Pierre GrilletJoy Fleury,1990,3,1h 23m,4.6,Thomas and Stéphane are happy as lovers but feel that they need to adopt a child to make their lives more complete.
83,tt0099100,Regner GrastenMichael Hardinger,1990,11,1h 17m,3.6,A clumsy policeman creates chaos around him and drives his boss crazy.
84,tt0098150,Kan-Cheung TsangChi-Leung Shum,1990,11,1h 27m,6.8,A former cop rejoins the police department to investigate a drug ring that employs ghosts and vampires.
85,tt0098658,Herman KochOtakar Votocek,1990,3,R,6.8,"A famous movie actor (Peter O'Toole) claims that he has written a book. As result, a real author, not a very well known writer, vengenfully kills him but then dies as a result of an accident. Next, they both find themselves in after-life, where souls of all famous people are gath... Read all"
86,tt0098050,José María Carreño,1990,5,1h 24m,5.8,"Adolfo reunites with his old teacher, Father Benito, to confess him the crimes he committed when he was a young boy just to save the soul of the people he loved."
87,tt0097884,Louis MalleJean-Claude Carrière,1990,1,R,7.2,"During the events of May 1968 in France, different worldviews of conflicting relatives collide in their family estate."
88,tt0099178,Don ShiffrinGary P. Conner,1990,ND,R,3.9,"Marilyn Chambers plays an aging film star who turns a dumpy hotel into a sizzling, successful brothel."
89,tt0098514,Fabrice CazeneuveAnton ChekhovJacques Tournier,1990,8,1h 33m,5.6,"After the French defeat of 1870, Julia took three years to love Alexander, with whom she married for her fortune. Alas, when Julia wants to declare his love to her husband, the latter confesses to him that his passion is extinguished."
90,tt0099038,Vladimir Vardunas,1990,8,1h 18m,5.5,"Vasiliy Kutuzov, the namesake of the famous commander, ends up in a mental hospital because of his talent for inventing jokes. Everyone in his family had this gift, and many suffered as a result. The authorities did not like the fact that the Kutuzovs were bothering the people. B... Read all"
91,tt0098532,Aki Kaurismäki,1990,11,Not Rated,7.5,"A woman's terribly dull life is upended by a one-night stand pregnancy, causing her to seek retribution."
92,tt0098606,Ermanno CavazzoniFederico FelliniTullio Pinelli,1990,2,Not Rated,6.3,"The amusing and entertaining adventures of a recently released mental patient and his band of misfits, who discover conspiracies to participate in while looking for love."
93,tt0099421,Antonio Monda,1990,9,1h 32m,4.8,"A young woman of Calabrian origin, Gianna Mancuso, becomes a widow on Christmas Eve. This dramatic fact causes her to withdraw into herself and refuse any kind of sympathy from the rest of the family. On the surface Gianna seems indifferent to what has happened and scandalizes ev... Read all"
94,tt0098920,Krzysztof MagowskiMarcin Wolski,1990,3,1h 37m,2.7,
95,tt0099228,Morten LorentzenBjarne Reuter,1990,12,1h 16m,4.5,"Bertil and his buddy Hugo gets involved in a criminal, dramatic and complicated hunt on a precious diamond, after they steal it by a mistake."
96,tt0098244,Eduardo De FilippoRaffaele La CapriaLina Wertmüller,1990,1,1h 59m,6.5,"Peppino and Rosa have been married for about 30 years. They live in a large house with a sea view in the Rione Terra with their children Rocco and Giulianella, grandfather Don Antonio, and Aunt Amelia."
97,tt0099831,Pamela BergerAbraham Cahan,1990,3,1h 30m,7.4,"Asriel Stroon has done well for himself since arriving in America, but has he lost his purity of soul in the process? On a return visit to his Polish hometown, he makes amends by arranging a marriage between his daughter, Flora, and Shaya, a brilliant young Talmudic scholar whom ... Read all"
98,tt0097436,Carlo De BoutinyJan Kounen,1990,1,5m,6.0,"Across a futuristic city's narrow streets, a coven of modern witches chases a thief on motorized flying brooms."
99,tt0100525,Charlie Wiener,1990,ND,5m,7.9,"Mock-u-mentary about ""Rumba"" convertees. Several interviews with the ""rumba"" community about how the art of ""rumba dancing"" has changed their pathetic lives."
100,tt0100510,Gary K. WolfBill KoppKevin Harkey,1990,10,PG,7.4,Roger Rabbit struggles to keep wandering Baby Herman safe in an amusement park where the usual havoc ensues.
101,tt0099696,Bruno Bozzetto,1990,5,9m,7.2,Men killing each other through the ages for various reasons.
102,tt0099706,Mike McKenna,1990,ND,7m,7.1,
103,tt0099367,Mark Hartley,1990,ND,Not Rated,5.8,"""A Date With Destiny"" is a comic combination of dags, coffee-and-donut girls from outerspace, trigger happy intersteller hit men and a sincere plea to save the planet. Well, perhaps not quite a sincere plea - but a quick environmental gag to get the greenie audience. Things can g... Read all"
104,tt0099567,Mathieu Kassovitz,1990,ND,8m,5.3,"A young man shoots hoops in an empty gym. He misses constantly. At the other end of the court, a young woman arrives and starts warming up. She rarely misses. He's white, she's black. From time to time, she glances at him and smiles. He's fully aware of her presence and of his la... Read all"
105,tt0099171,Charles Carney,1990,2,G,6.7,"When a 100 screen cineminium is built over Bugs Bunny's rabbit hole, he invades the complex to investigate but is quickly pursued when usher Elmer Fudd finds that he has no ticket."
106,tt0100916,Brett RatnerWilliam Beechey,1990,ND,12m,2.8,Former child star Mason Reese goes out for a night on the town. He has a run in with a fan of his while at a sushi resturant.
107,tt0133313,Vince WareKatie HarrisRobert J. Saunders,1990,ND,Unrated,6.1,An explosion at a bakery causes bread to come to murderous life and attack people. A handful of desperate folks seek refuge in a secluded farmhouse. Will any of them survive the night of the living bread?
108,tt0145013,Martin Barry,1990,4,10m,6.7,"With the arrival of a new juke-box in a snack-bar, the cockroaches' life becomes suddenly a little more animated."
109,tt0185397,Hiroshi TodaAkira Toriyama,1990,7,20m,6.6,A comedy about a family of old-fashioned samurai living in modern-day Tokyo whose young son has to head out for an important date.
110,tt0194939,Santiago AguilarRaúl BarbéLuis Guridi,1990,ND,19m,4.9,"The peace of the world is once again threatened, the culprit: the evil doctor Fu Manchu."
111,tt0211483,Harry Sinclair,1990,5,24m,7.0,
112,tt0212560,John Weldon,1990,9,10m,7.6,"A scientist has invented a teleportation device, but when an observer learns the details of how it works, she is left with a moral dilemma and a meditation on the nature of self and morals."
113,tt0233238,Craig Bartlett,1990,4,3m,6.6,"Arnold, a school kid with a vacant stare and hair sticking out, takes the bus to school. He sits idly through lessons. Then, it's time for band, where he plays the piccolo. He daydreams through the Vienna waltz, imagining himself ice-skating, and sending the school bully into the... Read all"
114,tt0240705,John BellStephen ZollerDavid Van Fleet,1990,ND,30m,5.6,"Count Floyd, the former horror host of ""Monster Chiller Horror Theatre"" (SCTV), takes the audience through step by step lessons on how to make the best funny home videos."
115,tt0243895,Andrew GarrisonGurney Norman,1990,10,15m,6.8,
116,tt0259357,Alain Guiraudie,1990,2,13m,5.7,"Guiraudie's first film concerns two young men engaged in a favorite pastime: hanging out and talking. Specifically, they wait in the square of a small town for a third: the potential funder of their proposed magazine."
117,tt0283465,Randall Miller,1990,10,TV-G,6.7,"Worse than having your glove stolen, worse than Chinese water torture, even worse than the earth spinning off its axis and careening into Mars, your mom enrolls you in Marilyn Hotchkiss' program. Not only do we have to wear a tie and jacket, but you have to be polite... and dance... Read all"
118,tt0284364,Gregory P. Grant,1990,ND,5m,7.6,G.I. Joe comes to life!
119,tt0312670,Stig BergqvistMartti EkstrandJonas Odell,1990,7,20m,7.1,A mix between Disney and Kafka the film describes a world were there is no way to escape being entertained...
120,tt0366283,Oscar WildeAl GuestJean Mathieson,1990,7,1990,7.3,"The poor ghost of Sir Simon Canterville has been roaming his castle searching in vain for a brave descendant who will release him from the Canterville curse by performing a brave deed. An American family moves in and finds the ghost amusing, but a young girl in the family can rel... Read all"
121,tt0382989,Lisa HöggKlaus KnoeselHolger Neuhäuser,1990,0,4m,7.1,
122,tt0387645,Donyo Donev,1990,6,3m,7.9,11 short satiric stories about the marvelous misadventures of The Three Fools created and directed by the Bulgarian cartoonist Donyo Donev. The first episode was released in 1970 and the last one in 1990.
123,tt0391337,Luis Fernando Verissimo,1990,0,9m,4.9,A calm and faithful husband realizes that an unlikely lie can be safer than the innocent truth.
124,tt0402593,Candy Guard,1990,ND,4m,6.6,"A totally-incompetent typist is sent out on a job by an over-enthusiastic temp agency manager, with predictable results."
125,tt0418659,José Ángel Bohollo,1990,1,13m,9.8,
126,tt0420826,Maksim Pezhemskiy,1990,0,24m,6.8,
127,tt0423042,Jennifer Lockhart,1990,ND,5m,7.0,"A library patron with a really bad cough irritates another patron, who decides to retaliate."
128,tt0448204,John KricfalusiBob CampLynne Naylor,1990,8,TV-PG,8.0,"Ren and Stimpy, on the streets starving, are captured by the dog catcher. They end up in the pound and become frightened when one of the dogs tells them of the ""big sleep""."
129,tt0447704,Angus MacLachlan,1990,3,18m,8.6,"Tater Tomater is the story of a cafeteria worker, Doris, who, over the course of a hectic day, begins to lose control. Being forced to say the same thing over and over again, she begins rhyming words and her co-workers don't quite know how to react."
130,tt0092926,Michael McNamara,1990,6,1h 30m,3.1,"The people's private army and their crazed leader Jake, have a simple plan - take over the world. But, there are three things in their way, money and two deadly kickboxers - The Twin Dragons (Michael and Martin McNamara). Jake's devious plan has the Twin Dragons captured, drugged... Read all"
131,tt0094376,Hung-Wah LeungKwong-Kim YipYeuk-Kwong Yuen,1990,6,1h 34m,5.6,"When he is framed for being a spy because of his friend's illegal activities, David must escape from police, CIA, and assassins with the help of his cousin."
132,tt0095095,Sean DashJoseph Merhi,1990,4,1h 44m,5.2,"George and Tony are two good fellas from the mean streets of New York. All they want is to make it to their 21st birthdays, but in their world of prostitutes, junkies and gangs, one wrong move can be their last!"
133,tt0095290,Kam Bo Writing Team,1990,9,1h 31m,5.8,"The 1990 Hong Kong action classic, starring Yukari Oshima, is titled Brave Young Girls in the U.S. It is a very interesting story about two beautiful young women who are completely different. One woman is a skilled martial artist/police officer and the other is a prostitute, but ... Read all"
134,tt0097004,Bill Milling,1990,12,Not Rated,3.9,Discontent leads to a daring escape plan in a women's prison where the inmates are all lingerie clad models and the lesbian warden demands unusual favours for early parole.
135,tt0096513,David TadmanBarry Wong,1990,3,1h 37m,6.7,"Follows the exploits of two car thieves, and the female police officer who is on their trail."
136,tt0096811,Yin Nam,1990,1,1h 36m,6.3,A pleasant trip to the Phillipines is turned into tragedy when the tour bus is kidnapped by a group of rebels that want to exchange the prisoners for the Rebel Leader's brother.
137,tt0097542,Antonio Gonzalo,1990,5,1h 23m,5.6,
138,tt0096767,Terry Asbury,1990,7,1h 34m,3.4,The adventures of three friends running an air charter business in Africa during WWII and their race to prevent a Nazi Baron from escaping to Germany with vital radar equipment.
139,tt0096837,Beth GlazerAnthony PeckhamStephen Katz,1990,2,R,4.8,"A CIA agent protecting a senator who falls under suspicion when his charge is shot by an assassin. In investigating the killing, the agent discovers a government conspiracy."
140,tt0098958,Viktor Dotsenko,1990,ND,1h 28m,5.6,"Saveliy Govorkov, an Afghanistan war veteran tries to fight mafia in his own town."
141,tt0098172,Aubrey K. RattanTerry Asbury,1990,2,R,5.0,A cop sets up his girlfriend as a target in order to trap a serial killer.
142,tt0097506,Gustav EhmckUlrich KrenklerPeter Lawrence,1990,7,1h 33m,5.7,"MJ, girlfriend Vikki and Freddie spend their days in the big city with nothing more than gambling and breaking into cars. When MJ accidentally kills three motorcyclists, two policemen stick to the heels of the trio ."
143,tt0098422,James Wulf Simmonds,1990,6,1h 44m,4.5,Richard Norton plays a Bushido-trained ex-Navy SEAL named Connors (he was in 'Nam) who ends up in the far east after investigating the whereabouts of an ancient Japanese ceremonial sword. Connors is left wondering whether the trip was such a good idea when Japanese gangsters star... Read all
144,tt0097259,Greg Latter,1990,4,R,3.9,"A bar owner/ex cop winds up in a scheme involving drug smuggling, murder, and seduction."
145,tt0099240,Song-yu HongSam-yuk Yoon,1990,6,1h 48m,6.4,"The first chapter of the the General's Son trilogy follows Kim Du-Han's childhood, from the loss of his mother at age 8, to his rise as a gang leader who protects local vendors from expanding Yakuza forces in Japanese occupied Korea."
